,맥주이름,년,평점
111,Beck's, 2013,2.343661971830986
112,Beck's, 2014,2.1627906976744184
113,Beck's, 2015,2.3008620689655173
114,Beck's, 2016,2.291954022988506
115,Beck's, 2017,2.2164556962025315
116,Beck's, 2018,2.475
117,Beck's, 2019,2.418
118,Beck's, 2020,2.323529411764706
119,Beck's, 2021,2.152173913043478
120,Berliner Kindl Jubiläums Pilsener Premium, 2001,1.4666666666666668
121,Berliner Kindl Jubiläums Pilsener Premium, 2002,1.85
122,Berliner Kindl Jubiläums Pilsener Premium, 2003,3.0833333333333335
123,Berliner Kindl Jubiläums Pilsener Premium, 2004,2.3833333333333333
124,Berliner Kindl Jubiläums Pilsener Premium, 2005,2.4
125,Berliner Kindl Jubiläums Pilsener Premium, 2006,2.44
126,Berliner Kindl Jubiläums Pilsener Premium, 2007,2.5500000000000003
127,Berliner Kindl Jubiläums Pilsener Premium, 2008,2.40625
128,Berliner Kindl Jubiläums Pilsener Premium, 2009,2.7199999999999998
129,Berliner Kindl Jubiläums Pilsener Premium, 2010,2.6999999999999997
130,Berliner Kindl Jubiläums Pilsener Premium, 2011,2.476923076923077
131,Berliner Kindl Jubiläums Pilsener Premium, 2012,2.844
132,Berliner Kindl Jubiläums Pilsener Premium, 2013,2.36
133,Berliner Kindl Jubiläums Pilsener Premium, 2014,2.668
134,Berliner Kindl Jubiläums Pilsener Premium, 2015,2.6518518518518515
135,Berliner Kindl Jubiläums Pilsener Premium, 2016,2.576
136,Berliner Kindl Jubiläums Pilsener Premium, 2017,2.7038461538461536
137,Berliner Kindl Jubiläums Pilsener Premium, 2018,2.715
138,Berliner Kindl Jubiläums Pilsener Premium, 2019,2.7333333333333334
139,Berliner Kindl Jubiläums Pilsener Premium, 2020,2.772727272727273
140,Berliner Kindl Jubiläums Pilsener Premium, 2021,2.9272727272727277
141,Bintang Pilsener, 2001,2.2333333333333334
142,Bintang Pilsener, 2002,1.96875
143,Bintang Pilsener, 2003,1.8722222222222225
144,Bintang Pilsener, 2004,1.8866666666666667
145,Bintang Pilsener, 2005,2.086666666666667
146,Bintang Pilsener, 2006,1.9083333333333332
147,Bintang Pilsener, 2007,1.8857142857142857
148,Bintang Pilsener, 2008,1.85625
149,Bintang Pilsener, 2009,1.935
150,Bintang Pilsener, 2010,2.081818181818182
151,Bintang Pilsener, 2011,2.1666666666666665
152,Bintang Pilsener, 2012,2.0526315789473686
153,Bintang Pilsener, 2013,2.07
154,Bintang Pilsener, 2014,1.9833333333333332
155,Bintang Pilsener, 2015,2.068
156,Bintang Pilsener, 2016,2.0250000000000004
157,Bintang Pilsener, 2017,2.057377049180328
158,Bintang Pilsener, 2018,2.0844444444444443
159,Bintang Pilsener, 2019,2.4388888888888887
160,Bintang Pilsener, 2020,1.95
161,Bintang Pilsener, 2021,2.125
162,Bright Leaf Peeper Red IPA, 2021,3.866666666666667
163,Brooklyn Special Effects (Hoppy Amber/Lager), 2018,2.6
164,Brooklyn Special Effects (Hoppy Amber/Lager), 2019,2.771604938271605
165,Brooklyn Special Effects (Hoppy Amber/Lager), 2020,2.9953125
166,Brooklyn Special Effects (Hoppy Amber/Lager), 2021,3.085714285714286
167,Budweiser, 2000,1.2347826086956522
168,Budweiser, 2001,1.4881856540084388
169,Budweiser, 2002,1.3986175115207373
170,Budweiser, 2003,1.4842696629213483
171,Budweiser, 2004,1.38
172,Budweiser, 2005,1.442517006802721
173,Budweiser, 2006,1.3241610738255034
174,Budweiser, 2007,1.3340314136125655
175,Budweiser, 2008,1.4848484848484849
176,Budweiser, 2009,1.583710407239819
177,Budweiser, 2010,1.4211678832116788
178,Budweiser, 2011,1.6202380952380953
179,Budweiser, 2012,1.5826086956521739
180,Budweiser, 2013,1.7524663677130046
181,Budweiser, 2014,1.668586387434555
182,Budweiser, 2015,1.6016949152542372
183,Budweiser, 2016,1.9196261682242992
184,Budweiser, 2017,1.9595041322314048
185,Budweiser, 2018,2.016279069767442
186,Budweiser, 2019,2.0784615384615384
187,Budweiser, 2020,2.079487179487179
188,Budweiser, 2021,1.8559999999999999
189,Carlsberg Pilsner, 2000,3.0
190,Carlsberg Pilsner, 2001,2.785185185185185
191,Carlsberg Pilsner, 2002,2.454878048780488
192,Carlsberg Pilsner, 2003,2.3898734177215193
193,Carlsberg Pilsner, 2004,2.155421686746988
194,Carlsberg Pilsner, 2005,2.269090909090909
195,Carlsberg Pilsner, 2006,2.1756521739130434
196,Carlsberg Pilsner, 2007,2.264516129032258
197,Carlsberg Pilsner, 2008,2.2315436241610738
198,Carlsberg Pilsner, 2009,2.1096491228070176
199,Carlsberg Pilsner, 2010,2.2126436781609193
200,Carlsberg Pilsner, 2011,2.222340425531915
201,Carlsberg Pilsner, 2012,2.24375
202,Carlsberg Pilsner, 2013,2.265079365079365
203,Carlsberg Pilsner, 2014,2.2120879120879122
204,Carlsberg Pilsner, 2015,2.2961038961038964
205,Carlsberg Pilsner, 2016,2.3375
206,Carlsberg Pilsner, 2017,2.2533333333333334
207,Carlsberg Pilsner, 2018,2.3568627450980393
208,Carlsberg Pilsner, 2019,2.2984126984126987
209,Carlsberg Pilsner, 2020,2.348148148148148
210,Carlsberg Pilsner, 2021,2.522727272727273
211,Cass Fresh, 2002,1.2833333333333334
212,Cass Fresh, 2003,1.525
