,Aroma,Appearance,Flavor,Mouthfeel,Overall,맥주이름,Cluster
0,0.3556817321881268,0.3524314019082109,0.23757195185766622,0.22140195318905898,0.30700273536722855,Kloud Original Gravity,1
1,0.2337091830943282,0.13113726582631102,0.07604058572581585,0.048380165008849785,0.16877436531330237,Kloud Fitz Super Clear,1
2,0.2640631531679245,0.24366721690699666,0.21712748145355087,0.18574852879785608,0.2848872733761486,Asahi Super Dry,1
3,0.22826824984515182,0.14387032842848324,0.17644301614526736,0.1446245080289842,0.2270620989787483,Tsingtao,1
4,0.23310255304844585,0.24572414795880904,0.20771047768626472,0.17412038552136322,0.27294262884387377,Heineken,1
5,0.29596587291288834,0.25287166788363424,0.2235923865924312,0.1909348533276447,0.2929619156314426,Kirin Ichiban,1
6,0.2992470009363353,0.26285092080715966,0.2453309651610479,0.20567210114695067,0.3212366400672999,Sapporo Premium Beer / Draft Beer,1
7,0.3830939787378944,0.38458489783403293,0.3334365002078665,0.279196944566915,0.4369614514236728,Stella Artois,0
8,0.7653965020601395,1.0,0.5966868608639827,0.5166171249672401,0.7921095081141347,Guinness Draught,2
9,0.6234683450618966,0.4703821998924669,0.3958160129945526,0.30163784213507816,0.510423358075258,Kronenbourg 1664 Blanc,0
10,0.7154946773231151,0.6195322362936995,0.589360112172049,0.4843433330958625,0.7532051276750631,Pilsner Urquell,2
11,0.20605862641416628,0.20029168335190461,0.13116316441830977,0.10798514114533564,0.19397707707928658,San Miguel,1
12,0.3648777922892956,0.2905368734255338,0.23824035751062556,0.21884498094994254,0.2564266990202585,OB Premier Pilsner,1
13,0.13703480205475638,0.09170595737338227,0.052660169432092285,0.043750961545020006,0.07795470143507055,Cass Fresh,1
14,0.2505281499328871,0.1983728978813264,0.15434223100328903,0.15039180041291977,0.23959458812332213,Hite D (Dry Finish),1
15,0.1813843139915532,0.13989859177591368,0.1238315899124115,0.08034231799780467,0.15162777740566413,Hite Prime Max,1
16,0.2735522962035506,0.25780394304490684,0.19058100898294605,0.20398742256053148,0.23691867465044236,Hite Extra Cold,1
17,0.208682771997884,0.20309780949515144,0.1585577158056486,0.1180707918203393,0.19974928283228766,Victoria Bitter,1
18,0.23541260217644822,0.20984418286251438,0.15814933857755642,0.12748509705806788,0.20249148325320887,Bintang Pilsener,1
19,0.7479765347667108,0.6386029353153264,0.5205632283544416,0.40186874086067104,0.6492372678068801,Krombacher Weizen,2
20,0.042014358029226706,0.08770150478257499,0.04782916670923543,0.045376531796318176,0.058958887023695894,Miller Genuine Draft (MGD),1
21,0.7133300541072308,0.6491294658402396,0.3952265652023522,0.6144085863412482,0.5175922655836129,Hoegaarden Cherry,2
22,0.3028708133971292,0.1609411898777453,0.18294498076580412,0.16747308414587692,0.1974489509254651,Tiger Radler Lemon,1
23,0.4889285800682187,0.37710921388577145,0.39412497424643667,0.2976476982536397,0.4764689833054947,Suntory The Premium Malt's,0
24,0.6703295622233153,0.6917490772337906,0.3280295168915024,0.22881717268249646,0.46935149214197414,Reeper B. Blondes Weissbier,0
25,1.0,0.8196079114144439,0.7760098389638342,0.5715650959347202,1.0,Bright Leaf Peeper Red IPA,2
26,0.26447832221630296,0.21914821917427485,0.20295542610530426,0.1592520935362568,0.2660391667028188,Tiger Beer,1
27,0.6662982661091984,0.4200490545999025,0.4225253660786349,0.22680888406969046,0.5326675072841249,Tsingtao Wheat Beer,0
28,0.6951699670371007,0.633990825594114,0.5299753973732041,0.4347712592012075,0.6787950311340663,Erdinger Weissbier,2
29,0.29613903542832665,0.2624999825394294,0.24302236265299182,0.1956717789582484,0.3186578210643969,Carlsberg Pilsner,1
30,0.0,0.01977109544258482,0.0,0.0,0.0,Budweiser,1
31,0.41553929134793166,0.32605321625349304,0.32465035497931893,0.24377546028132735,0.4058621983595877,Sapporo Yebisu,0
32,0.9096881587221518,0.7654681498414293,0.6779491811668236,0.5515598698458252,0.8596428540700349,Paulaner Hefe-Weissbier,2
33,0.18206117827182555,0.14952482898113773,0.07976738448025711,0.0499126999439744,0.07843109484414434,Desperados,1
34,0.2768763512422946,0.19450323320669094,0.22332385823077516,0.18502274697600352,0.2804687517379095,Peroni Nastro Azzurro,1
35,0.8251313330054107,0.534665366668988,0.5771385745581527,0.42344902910072346,0.7179982215383063,Edelweiss Weissbier Snowfresh,2
36,0.4833709018584659,0.45048501621464476,0.36805558479839984,0.27799404862738075,0.4858792006080661,Heineken Dark Lager,0
37,0.6522749976834895,0.5963242865878735,0.47429488212294435,0.36547867183771476,0.6098239223979924,Kozel Černý (Dark) 10°,0
38,0.7316357726888641,0.7263997462632721,0.5473454258192342,0.42064729166464676,0.6936429012153695,Guinness Original 4.2% (Ireland/UK),2
39,0.2833251352680768,0.20399130239648366,0.25336612987944707,0.28594182655786704,0.42111071870033556,FiLite,1
40,0.5843285784554847,0.6065098544466885,0.47922287559091437,0.42161287951187243,0.6237219671552181,ARK Seoulite Ale,0
41,0.6247996296403461,0.49369323605199433,0.4861402187993842,0.41405226355777913,0.6254245826884524,Jeju Wit Ale,0
42,0.2694540088539106,0.2353067874705983,0.1979707137092125,0.13967507167536575,0.24059685678968745,Stephans Bräu Premium Pilsener,1
43,0.2526104982081372,0.23105137312254787,0.16403672041859518,0.08192520557440053,0.209770187432204,Stephans Bräu Premium Lager,1
44,0.5458762155208293,0.4220980743784386,0.3748736130697391,0.24611935150051734,0.45543588441842453,Stephans Bräu Hefe-Weizen Naturtrüb,0
45,0.18429369941421103,0.10928105485525919,0.07349524298676846,0.07886495625964851,0.08488714622830829,Bali Hai,1
